%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210327, 2015/04/12 22:43:7.28)
1 7  5.174979311266914000e+03 0 0 1.168776e+00 9.573467e-01 
2 13  1.431928225096780800e+03 0 0 9.257772e-01 9.925625e-01 
